subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
2,0.0,0.00039988003199198374,0.0
2,0.05,0.001488939783151333,0.0010257425495566054
2,0.1,0.0052159157802806775,0.00431509109592356
2,0.15000000000000002,0.03017646809930562,0.039851882598993006
2,0.2,0.08021287150344959,0.06331508388798668
2,0.25,0.2541337430678502,0.21581951751499343
2,0.30000000000000004,0.21125738163728372,0.16410496234185548
2,0.35000000000000003,0.26454548448704085,0.15264776623929785
2,0.4,0.2831400287299984,0.2311959873993437
2,0.45,0.3240446569460119,0.2684230159620018
