subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
4,0.0,0.00019937843970283531,0.00015315372973473306
4,0.05,0.00021831638472573632,0.00015470794218710977
4,0.1,0.0003818734110565325,5.628948876069722e-05
4,0.15000000000000002,0.0003534059988668292,0.00022432572860364795
4,0.2,0.0022417721149806114,0.0022191066691859287
4,0.25,0.009576913516788087,0.012248912432968875
4,0.30000000000000004,0.032032574466852835,0.05519952856897853
4,0.35000000000000003,0.07416187184019433,0.1013220706764778
4,0.4,0.18777336686806084,0.07938096409560802
4,0.45,0.20777679784699057,0.23385482559864773
