subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
3,0.0,0.00037642765728580497,7.416292061124712e-05
3,0.05,0.00039988003199198374,0.0
3,0.1,0.00039988003199198374,0.0
3,0.15000000000000002,0.0005030830040422485,0.0002110883474314943
3,0.2,0.0008794881695526335,0.0007947961457134525
3,0.25,0.007800062529554297,0.0049548320476583314
3,0.30000000000000004,0.0242341701415691,0.029174201423915466
3,0.35000000000000003,0.05602420133495345,0.05539539864567775
3,0.4,0.18901925959978755,0.12141028523789799
3,0.45,0.32566418626164384,0.21653111444286977
