subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
1,0.0,0.00039988003199198374,0.0
1,0.05,0.00039988003199198374,0.0
1,0.1,0.00039988003199198374,0.0
1,0.15000000000000002,0.00047984004478844876,0.0001685705081153594
1,0.2,0.0028748099610231836,0.0033507479558637235
1,0.25,0.005858116519067725,0.007283504764112601
1,0.30000000000000004,0.005858116519067725,0.007283504764112601
1,0.35000000000000003,0.015280736445197007,0.015113856893688146
1,0.4,0.039168322927769894,0.04494752869642092
1,0.45,0.07040246708027516,0.06671276544422698
