subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p,smallest_overall_p,left_hbo_p_phase,left_hbo_p_power,left_hbo_p_combined,left_hbr_p_phase,left_hbr_p_power,left_hbr_p_combined,right_hbo_p_phase,right_hbo_p_power,right_hbo_p_combined,right_hbr_p_phase,right_hbr_p_power,right_hbr_p_combined
0,0.0,0.00039988003199198374,,0.0001999600079984003,0.0018196468540940538,0.00039988003199198374,0.0001999600079984003,0.009852748743828929,0.00039988003199198374,0.0001999600079984003,0.0013957649446101955,0.00039988003199198374,0.0001999600079984003,0.0020196283431692277,0.00039988003199198374
0,0.05,0.00039988003199198374,,0.0001999600079984003,0.013216752722889597,0.00039988003199198374,0.0001999600079984003,0.009186144980642371,0.00039988003199198374,0.0001999600079984003,0.004943950312989324,0.00039988003199198374,0.0001999600079984003,0.0026398867130202224,0.00039988003199198374
0,0.1,0.00039988003199198374,,0.0001999600079984003,0.0037439069896854486,0.00039988003199198374,0.0001999600079984003,0.01198347877841746,0.00039988003199198374,0.0001999600079984003,0.03534869526139422,0.00039988003199198374,0.0001999600079984003,0.0018638002739317905,0.00039988003199198374
0,0.15000000000000002,0.00039988003199198374,,0.0001999600079984003,0.017988764481621056,0.00039988003199198374,0.0001999600079984003,0.025682235480966816,0.00039988003199198374,0.0003999200159968006,0.08851993046308436,0.0007996800959743089,0.0001999600079984003,0.0037151463728352864,0.00039988003199198374
0,0.2,0.00039988003199198374,,0.0001999600079984003,0.01979314925773408,0.00039988003199198374,0.0001999600079984003,0.033610761016709734,0.00039988003199198374,0.0001999600079984003,0.02994379799636576,0.00039988003199198374,0.0001999600079984003,0.006509157124672435,0.00039988003199198374
0,0.25,0.00018745633811767526,,0.0001999600079984003,0.04008502432744165,0.00039988003199198374,0.0001999600079984003,9.373256195539776e-05,0.00018745633811767526,0.0001999600079984003,0.02869313655317,0.00039988003199198374,0.0001999600079984003,0.005166349838061102,0.00039988003199198374
0,0.30000000000000004,5.702455481870761e-05,,0.0001999600079984003,0.11707863521269968,0.00039988003199198374,0.0001999600079984003,2.851268389590387e-05,5.702455481870761e-05,0.016596680663867228,0.04313808015451512,0.03291791151867607,0.0001999600079984003,0.031155037934587643,0.00039988003199198374
0,0.35000000000000003,0.00039988003199198374,,0.0003999200159968006,0.014089218414240804,0.0007996800959743089,0.0001999600079984003,0.025614199606360567,0.00039988003199198374,0.016796640671865627,0.030100573123248524,0.033311154205871385,0.0001999600079984003,0.019979672099640366,0.00039988003199198374
0,0.4,0.00039988003199198374,,0.001999600079984003,0.017914703251985114,0.003995201759488198,0.0001999600079984003,0.003935442460380064,0.00039988003199198374,0.08958208358328335,0.19934071672492834,0.17113921746744432,0.0001999600079984003,0.018165038524011703,0.00039988003199198374
0,0.45,0.00039988003199198374,,0.041391721655668866,0.12156612407260728,0.08107016868971728,0.0001999600079984003,0.009839485261286243,0.00039988003199198374,0.03959208158368326,0.13130053167955558,0.0776166302432374,0.0007998400319936012,0.03796382217952015,0.0015990403199104275
0,0.5,0.00039988003199198374,,0.003199360127974405,0.05890818183628236,0.006388484350720369,0.0001999600079984003,0.0888452911024134,0.00039988003199198374,0.10597880423915217,0.4015532073956425,0.20072610153034387,0.007398520295940812,0.08049008376203404,0.014742302489312187
0,0.55,0.001998600479863999,,0.029194161167766446,0.12699550130387435,0.05753602328924334,0.0009998000399920016,0.1393839853296103,0.001998600479863999,0.22495500899820037,0.1466538688784699,0.2718003804999163,0.03839232153569286,0.11677835222100018,0.07531067271848568
0,0.6000000000000001,0.0015990403199104275,,0.12297540491901619,0.18440081947497258,0.2308278596230363,0.0007998400319936012,0.023587322897509384,0.0015990403199104275,0.026794641071785644,0.12860276863558737,0.05287132935340544,0.010397920415916816,0.04396552455411907,0.020687724082857906
0,0.65,0.010370891228672852,,0.02539492101579684,0.1357986877699322,0.05014494001819525,0.005198960207958408,0.02440674976748984,0.010370891228672852,0.5560887822435513,0.3708429662652718,0.604161426902118,0.10717856428714258,0.06788285811774554,0.13115763380925705
0,0.7000000000000001,0.18174122078802302,0.09542342545698376,0.8422315536892622,0.5660129528704931,0.8116552429238112,0.32373525294941013,0.18278142856729107,0.33215380650548243,0.4361127774445111,0.31882679968021227,0.5360030711660984,0.11937612477504499,0.09542342545698376,0.18174122078802302
0,0.75,0.09256097594832524,0.04740406044762359,0.8840231953609278,0.30306545774459026,0.5142822438112424,0.09758048390321936,0.04740406044762359,0.09256097594832524,0.7186562687462508,0.49762301432922706,0.747617364268348,0.39232153569286143,0.6047010110028808,0.6307268840173177
