CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std,smallest_overall_p_mean,smallest_overall_p_std,left_hbo_p_phase_mean,left_hbo_p_phase_std,left_hbo_p_power_mean,left_hbo_p_power_std,left_hbo_p_combined_mean,left_hbo_p_combined_std,left_hbr_p_phase_mean,left_hbr_p_phase_std,left_hbr_p_power_mean,left_hbr_p_power_std,left_hbr_p_combined_mean,left_hbr_p_combined_std,right_hbo_p_phase_mean,right_hbo_p_phase_std,right_hbo_p_power_mean,right_hbo_p_power_std,right_hbo_p_combined_mean,right_hbo_p_combined_std,right_hbr_p_phase_mean,right_hbr_p_phase_std,right_hbr_p_power_mean,right_hbr_p_power_std,right_hbr_p_combined_mean,right_hbr_p_combined_std
0.0,0.00039988003199198374,0.0,,,0.0001999600079984003,0.0,0.001819646854094054,0.0,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.009852748743828929,0.0,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0013957649446101955,0.0,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0020196283431692277,0.0,0.00039988003199198374,0.0
0.05,0.00039988003199198374,0.0,,,0.0001999600079984003,0.0,0.009363285500031397,0.004869492730376847,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.01039273181939604,0.003920326869004418,0.00039988003199198374,0.0,0.00021995600879824037,6.323290662204317e-05,0.013677961239137938,0.010746386733496273,0.0004398600383902163,0.00012642788108651955,0.0001999600079984003,0.0,0.0022769245534198005,0.0011507961207799671,0.00039988003199198374,0.0
0.1,0.00039988003199198374,0.0,,,0.0001999600079984003,0.0,0.014267149794649086,0.009015003424389942,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.01524134988205258,0.003558021134160944,0.00039988003199198374,0.0,0.0003199360127974405,0.00021495054984465905,0.018877336254001863,0.011819178865113937,0.0006397280831775931,0.0004297010714025582,0.0001999600079984003,0.0,0.00497275752047473,0.001793784040134408,0.00039988003199198374,0.0
0.15000000000000002,0.0003696078052901286,9.572918622282922e-05,,,0.0001999600079984003,0.0,0.017152071871417027,0.01167511817890964,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.018114325252795018,0.009352974241470509,0.0003696078052901286,9.572918622282922e-05,0.0005598880223955209,0.000531557742781494,0.045957145542959064,0.04288552312315215,0.0011192082719228779,0.001062108758417674,0.0001999600079984003,0.0,0.0041617806479200565,0.0021718882039250967,0.00039988003199198374,0.0
0.2,0.00039988003199198374,0.0,,,0.0002599480103979204,9.658986033586241e-05,0.015061913502630513,0.007507648367573027,0.0005198200511866812,0.00019312177834395053,0.0001999600079984003,0.0,0.02037881617600985,0.012012052449083812,0.00039988003199198374,0.0,0.0004199160167966407,0.00028976958100758725,0.03943056127883505,0.03801939268449956,0.0008395801343630271,0.000579218183302018,0.0001999600079984003,0.0,0.007533360358670978,0.0040508991371884075,0.00039988003199198374,0.0
0.25,0.0003845816152054815,4.837784163990094e-05,,,0.00021995600879824037,6.323290662204317e-05,0.0345491970390857,0.032586935898435296,0.0004398600383902163,0.00012642788108651955,0.0001999600079984003,0.0,0.022012002051819763,0.017279400077936394,0.0003845816152054815,4.837784163990094e-05,0.0027794441111777647,0.00294250133488549,0.07388654710284939,0.08005711757553627,0.005229317378085218,0.006054661250513177,0.0001999600079984003,0.0,0.010557073033405143,0.004539150810105725,0.00039988003199198374,0.0
0.30000000000000004,0.00039988003199198374,0.0,,,0.0002599480103979204,9.658986033586241e-05,0.030558984215190044,0.012525514754585736,0.0005198200511866812,0.00019312177834395055,0.0001999600079984003,0.0,0.02111528181561479,0.015332161846790107,0.00039988003199198374,0.0,0.0060387922415516895,0.006287921835698548,0.06362527965504036,0.05391552308550007,0.012005533306456085,0.012455385751029495,0.0001999600079984003,0.0,0.016274954408218023,0.009361921737895608,0.00039988003199198374,0.0
0.35000000000000003,0.00037695382891758113,7.249901981466706e-05,,,0.0007598480303939211,0.000450095128071296,0.041330936519588135,0.02375680954158788,0.001518936364696666,0.0008992902802585199,0.0001999600079984003,0.0,0.02332359480049497,0.019687401160194493,0.00037695382891758113,7.249901981466706e-05,0.012897420515896822,0.02426442353173792,0.08781030364891754,0.05695243980110075,0.025098611551434957,0.04652046090022359,0.00021995600879824037,6.323290662204317e-05,0.01459583218018649,0.01568723444724305,0.0004398600383902163,0.00012642788108651955
0.4,0.00039988003199198374,0.0,,,0.0010197960407918416,0.0007389206986291055,0.05006167454741155,0.04049050764180837,0.0020380606941998837,0.0014761899515949811,0.0001999600079984003,0.0,0.03641580331474505,0.024620050269146633,0.00039988003199198374,0.0,0.03319336132773445,0.05376524324874838,0.12771802534496268,0.10685486917528204,0.056493971438289735,0.08305380451150998,0.000639872025594881,0.000704131848096741,0.02835814406575089,0.019781477667401043,0.0012788883934870543,0.0014065439116649986
0.45,0.0004398600383902163,0.00012642788108651953,,,0.007378524295140972,0.010934580837099032,0.09334573988420822,0.11695024415492129,0.014594997417233224,0.02158191787669423,0.0002999400119976005,0.00025380834186042485,0.0298114024805064,0.028394360663612766,0.0005997320831774178,0.0005073174261603998,0.041351729654069184,0.03607882955172825,0.14638808772741868,0.12109098890048922,0.06721944988878083,0.0655031736191323,0.000639872025594881,0.0005718219180037917,0.03361760917677477,0.01996909050031832,0.0012790403327052834,0.0011424463971593322
