iter,target,param_k1,param_k2,param_k3,param_k4,param_k5,param_lam_mmd,param_latent_dim,param_logvar,param_means,param_mmd_sigma,param_out1,param_out2,param_out3,param_out4,param_out5,param_window_buffer,param_window_length
0,0.062175573261357975,8.243561663863074,16.310000289738827,13.247915185359671,11.381218778758512,5.1842609661941115,12.01975341512912,2.755086958186593,0.4647045830997407,2.002787529358022,3.832290311184182,18.305463361129874,124.62990344214336,109.23357576964723,39.781980395966926,36.364396327195266,1.6834045098534338,46.60362766205781
1,0.0,10.346590042851329,9.047230260989622,7.077207962772587,11.565940526113312,4.9529140491285855,18.146509184084817,6.762703962817993,-1.1757200631318563,2.462939903482534,1.798695128633439,73.59425710232449,82.35043171254875,21.202446224639743,84.0450234129611,35.09870185297665,1.5650515929852795,77.54650578816
2,0.0,16.51884846304383,14.317562873630456,7.26459276842719,4.367409596089374,12.579262371170197,24.80686221828206,3.586497052982125,-1.0192923595549193,0.585971302788046,4.637281608315128,44.983357939201895,90.20249584764598,50.911640522014025,74.24761837191481,77.23155128644731,1.6848544555255272,78.54006213269881
3,0.020878249474351684,13.851859527055604,16.15298518189865,15.527582905987083,11.370599703355191,15.906239290323636,8.982162592336378,4.547777211448888,-2.8190908443578477,1.313325826908161,2.554709158757928,46.391091558676344,108.81860102501608,55.956372589682,47.46466508498665,76.78196131372383,1.6409242249747626,70.5054550761939
4,0.004012856340983306,4.043709011516792,16.816417112407244,13.811426770153204,5.782019541478414,3.0773096397304336,41.695764280467536,11.189145470019023,-0.08397132783605077,2.4281758667148643,1.2961786069363614,56.14816159695853,28.977334666814528,112.66758369806648,85.80939020468648,53.06057878349671,1.5635583502860237,46.927151442351786
5,0.18670024117729256,7.552566508374459,13.214486496732897,11.925804598972984,15.420978396068572,9.61100895226729,10.381741067223576,11.272182233898935,0.043140194467589765,1.9031929939237406,4.083868719818244,71.30510679281176,74.54607689078333,63.88459405615756,18.846942195338663,28.0838398232501,1.5314291856867341,62.54769974066146
6,0.1108146353967614,7.400983735068573,10.119989676305838,15.705930634965302,6.490091208084249,8.745360922498817,38.99980123443719,4.974376151391092,-2.692080360684828,1.2243786322844201,1.6448851490160177,120.12613706236819,106.5094825112147,86.94122072916743,113.60358610102438,106.01127261270082,1.6865700588860357,74.84283192751893
7,0.060497381831715435,10.55079138681911,14.304162172296875,15.545278198928905,7.452048649606095,4.540726943387474,15.257082314387375,7.552401252141332,0.27205906368997246,2.6518264581408584,1.0278085221247628,73.20369788868736,62.75003235266325,40.876074772721786,29.424921141372472,53.812899197206335,2.442909703912519,47.513740736996255
8,0.05507829304187528,10.263068704407125,12.84226542453249,8.090814433310115,16.604949158093447,16.474262129189558,16.330203312141386,8.464230576601011,-1.7964867607329214,1.2121012359436691,1.1475477894181312,84.27120540574845,72.30005060163248,21.76562013999881,47.20840399450048,117.72577922826521,1.7395618906669723,38.95495386037871
9,0.10875010035775945,9.852338643885883,16.79910635754841,6.388773801161006,12.4098976636823,13.662674614602047,15.693689479657985,11.466812531954174,-1.528867469122987,2.080764576483949,3.534118843043579,76.00676461637295,26.11245424609373,109.55387950599466,51.92736727683442,36.89007316478367,1.540775141554764,60.362861273035605
10,0.04010193344101448,12.485901065791953,3.2322296049899863,10.169302816189933,6.170940852771132,12.032419065732299,12.846489305224615,10.982190595332057,-1.4530586147978504,2.8418249718418362,1.550083776583973,54.19943131762895,28.709034378945976,119.56568524719903,114.26200757866988,44.88946230409743,2.159984046034179,71.22666560965837
11,0.055498703197777444,10.772811362392472,10.415108096984092,6.385932072606323,4.303438749282589,15.561020611346574,45.51881257234987,10.230318944552483,-1.6438808358051973,1.3730239365316521,3.9038227154809575,116.47634911468863,115.35367951769314,103.34606113605388,87.90754436928023,25.42367607944547,1.6616287140946138,75.1306010492998
12,0.06400241809123561,11.49000683523426,3.1287587226328153,4.420601600124449,12.289024767512782,3.0708621738470616,12.236362313787438,9.13353926176562,-0.232419209229227,2.1299031487565014,1.8970772378422391,95.76407279092402,42.571897799641604,52.444766193837985,99.6070373732187,88.75888469328804,2.349223410494178,63.56541883041648
13,0.030442297997201495,10.956320446696603,4.311446749593294,8.148021242832069,6.712833147544156,6.4158550073071705,48.785474963860054,7.110270420667885,0.5681862207084531,2.0778465649931572,4.179245214166594,72.29535442778152,80.61323507815221,71.16198170771275,37.86721463338098,96.91463690928859,1.7807723624408558,33.16716638870979
