subject,CONTROL_REPLACEMENT_FRAC,seed,smallest_combined_p,smallest_overall_p,left_hbo_p_phase,left_hbo_p_power,left_hbo_p_combined,left_hbr_p_phase,left_hbr_p_power,left_hbr_p_combined,right_hbo_p_phase,right_hbo_p_power,right_hbo_p_combined,right_hbr_p_phase,right_hbr_p_power,right_hbr_p_combined
3,0.0,0,0.00039988003199198374,,0.0003999200159968006,0.913587729790565,0.0007996800959743089,0.0001999600079984003,0.0017085286516315649,0.00039988003199198374,0.10377924415116976,0.4515347656159435,0.19678835678575146,0.0001999600079984003,0.03422835022932165,0.00039988003199198374
3,0.0,1,0.00016535628493019594,,0.0003999200159968006,0.870251312280472,0.0007996800959743089,0.0001999600079984003,8.268156058534915e-05,0.00016535628493019594,0.11737652469506099,0.5543950431671377,0.22097580084063173,0.0001999600079984003,0.04571842427803279,0.00039988003199198374
3,0.05,0,0.00039988003199198374,,0.003199360127974405,0.9193479261083811,0.006388484350720369,0.0001999600079984003,0.0002365819046174615,0.00039988003199198374,0.0617876424715057,0.751994950492022,0.11975757218082483,0.0001999600079984003,0.03104380752975642,0.00039988003199198374
3,0.05,1,0.00039988003199198374,,0.0013997200559888023,0.7263411614147581,0.002797480895742388,0.0001999600079984003,0.0017965672907706164,0.00039988003199198374,0.23875224955008997,0.6851329657787579,0.4205018624349516,0.0001999600079984003,0.07131544030297732,0.00039988003199198374
3,0.1,0,0.00039988003199198374,,0.04839032193561288,0.14841204779353545,0.09443902061419351,0.0001999600079984003,0.01706708791486967,0.00039988003199198374,0.8530293941211757,0.9359116903112115,0.9783996410076113,0.0001999600079984003,0.3736399227511984,0.00039988003199198374
3,0.1,1,0.00039988003199198374,,0.06858628274345131,0.8195544499249166,0.1324684873063381,0.0001999600079984003,0.016673325890961002,0.00039988003199198374,0.6916616676664668,0.3612093486577447,0.5919465037577372,0.0003999200159968006,0.02974846149123528,0.0007996800959743089
3,0.15000000000000002,0,0.00039988003199198374,,0.047590481903619274,0.5509269106430239,0.09291610983941978,0.0001999600079984003,0.011344434589679125,0.00039988003199198374,0.518496300739852,0.9627649187553411,0.768154187598793,0.0001999600079984003,0.4227521419197984,0.00039988003199198374
3,0.15000000000000002,1,0.00039988003199198374,,0.20875824835032994,0.9193338174490528,0.3739364904463619,0.0001999600079984003,0.03056166086306854,0.00039988003199198374,0.20255948810237953,0.9101096991846498,0.3640886299844611,0.0007998400319936012,0.24103855338650856,0.0015990403199104275
3,0.2,0,0.00039988003199198374,,0.06998600279944012,0.2015350212676142,0.13507396501103697,0.0003999200159968006,0.043575377145581365,0.0007996800959743089,0.7456508698260348,0.690325839313458,0.9041019142030858,0.0001999600079984003,0.20722580461169457,0.00039988003199198374
3,0.2,1,0.00039988003199198374,,0.33473305338932213,0.777463179179033,0.5574198897473055,0.0001999600079984003,0.0731856747686044,0.00039988003199198374,0.19376124775044992,0.7133566198781169,0.34997907437108855,0.005398920215956809,0.09996785492146615,0.010768692092415266
3,0.25,0,0.0031968011516674277,,0.8392321535692862,0.08387973755690036,0.16072366474118627,0.0015996800639872025,0.17461999869779546,0.0031968011516674277,0.3151369726054789,0.8754554788546582,0.5309626337080114,0.022195560887822437,0.44902587314858255,0.04389847885251996
3,0.25,1,0.004793282495270557,,0.5496900619876025,0.8289275425284406,0.7972209597272707,0.0023995200959808036,0.027777381045880623,0.004793282495270557,0.7880423915216956,0.804597575065686,0.9550739722081578,0.01739652069586083,0.1831238093532667,0.03449040245940016
3,0.30000000000000004,0,0.017519071670568986,,0.739252149570086,0.15504856759645455,0.2860570768791968,0.008798240351929614,0.08628961639796295,0.017519071670568986,0.7596480703859229,0.534211237893452,0.7830408290952496,0.04979004199160168,0.37235479967008867,0.09710103570167783
3,0.30000000000000004,1,0.0978608917288728,0.05018996200759848,0.739252149570086,0.9680743071894553,0.9320105584961792,0.05018996200759848,0.23950258704432154,0.0978608917288728,0.5570885822835433,0.7389716055567734,0.8038294760563984,0.08438312337532493,0.9056691086036295,0.16164573524007453
