CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std,smallest_overall_p_mean,smallest_overall_p_std,left_hbo_p_phase_mean,left_hbo_p_phase_std,left_hbo_p_power_mean,left_hbo_p_power_std,left_hbo_p_combined_mean,left_hbo_p_combined_std,left_hbr_p_phase_mean,left_hbr_p_phase_std,left_hbr_p_power_mean,left_hbr_p_power_std,left_hbr_p_combined_mean,left_hbr_p_combined_std,right_hbo_p_phase_mean,right_hbo_p_phase_std,right_hbo_p_power_mean,right_hbo_p_power_std,right_hbo_p_combined_mean,right_hbo_p_combined_std,right_hbr_p_phase_mean,right_hbr_p_phase_std,right_hbr_p_power_mean,right_hbr_p_power_std,right_hbr_p_combined_mean,right_hbr_p_combined_std
0.0,0.00039988003199198374,0.0,,,0.0001999600079984003,0.0,0.025700988911853975,0.024356708022582683,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.011735409413256747,0.0012526727865017516,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.029234788577526614,0.026774618864874415,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0018506652696146544,0.00019423099946295396,0.00039988003199198374,0.0
0.05,0.00039988003199198374,0.0,,,0.0001999600079984003,0.0,0.026430448209708406,0.008680428734628508,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.009816343989452601,0.0028229504092454104,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.021555983536451172,0.011192641001799397,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0019408317101510253,0.001240292690433205,0.00039988003199198374,0.0
0.1,0.00039988003199198374,0.0,,,0.0003999200159968006,0.0,0.05659599584915131,0.02980192489870514,0.0007996800959743089,0.0,0.0001999600079984003,0.0,0.035540914569236144,0.008405357529813607,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.08663296100990533,6.730092471909078e-05,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.006522722211946122,0.0006084132698800159,0.00039988003199198374,0.0
0.15000000000000002,0.0009994601759512056,0.0008479343713167443,,,0.0015996800639872025,0.0005655723104871406,0.06089990886968945,0.036844026444957365,0.0031966412156481105,0.0011293351514746867,0.0004999000199960008,0.0004241792328653554,0.04155189575368025,0.0018001521199191963,0.0009994601759512056,0.0008479343713167443,0.0010997800439912016,0.0007069653881089258,0.29710982144970766,0.1454045133763627,0.002198100671807368,0.0014123757633666143,0.0007998400319936012,0.0005655723104871405,0.027563816283330017,0.0023294404828741785,0.0015988803838911658,0.0011302398862245014
0.2,0.011656984757516198,0.011651784779240493,,,0.031893621275744855,0.029268367067709522,0.1362187382610245,0.15714585695353933,0.06234172081800399,0.056669785706184965,0.017996400719856028,0.011311446209742811,0.040433903294655724,0.054763265154343835,0.011656984757516198,0.011651784779240493,0.01189762047590482,0.00438318540627534,0.06526752496954928,0.07677000009803255,0.019682160687861328,0.0030590698248751194,0.04579084183163367,0.040155634044586976,0.054209228393804855,0.010993833870169533,0.06260249131003537,0.03975649731920578
0.25,0.013560213951855471,0.011159543793029008,,,0.07058588282343531,0.041852350976048405,0.15382741734129557,0.02984583263885006,0.1353135891517957,0.07779633166833551,0.0673865226954609,0.049487577167624794,0.020208134094231313,0.024564172178118196,0.034703463615200214,0.041060614219571516,0.08908218356328734,0.09657147201567925,0.10701502985758701,0.09017299374296292,0.06289728674392653,0.030742276349952503,0.22055588882223556,0.15977417771261723,0.06354214943922412,0.07461164951518026,0.1125175206820862,0.12878722148077765
0.30000000000000004,0.01904108402845711,0.0235153267014116,,,0.10067986402719456,0.08299773656398789,0.15645621161655707,0.15700520262510728,0.1877789808964822,0.14928307146432138,0.1805638872225555,0.10774152514780029,0.114255212948135,0.15987382469527872,0.20267635229909803,0.2832148136197737,0.0626874625074985,0.06320270569693795,0.08048800854180257,0.047025565851708306,0.06395476184627169,0.04000220560459741,0.4245150969806039,0.27288863981004535,0.0834716064574903,0.018992085738820864,0.1597953541700311,0.034813571664446215
