CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std,smallest_overall_p_mean,smallest_overall_p_std,left_hbo_p_phase_mean,left_hbo_p_phase_std,left_hbo_p_power_mean,left_hbo_p_power_std,left_hbo_p_combined_mean,left_hbo_p_combined_std,left_hbr_p_phase_mean,left_hbr_p_phase_std,left_hbr_p_power_mean,left_hbr_p_power_std,left_hbr_p_combined_mean,left_hbr_p_combined_std,right_hbo_p_phase_mean,right_hbo_p_phase_std,right_hbo_p_power_mean,right_hbo_p_power_std,right_hbo_p_combined_mean,right_hbo_p_combined_std,right_hbr_p_phase_mean,right_hbr_p_phase_std,right_hbr_p_power_mean,right_hbr_p_power_std,right_hbr_p_combined_mean,right_hbr_p_combined_std
0.0,0.0008559450232983878,7.957062330764898e-05,,,0.0006998600279944011,0.0004241792328653554,0.004126455338497355,0.0029408479565415802,0.001399140287919154,0.0008477647335511787,0.007898420315936813,0.0009897515433524957,0.004782346998260908,0.0013913031920379658,0.009540855291423955,0.0027692989947875365,0.10927814437112578,0.00014139307762178952,0.0035383369542931467,0.004358787099264503,0.007054654567695717,0.008686728483590603,0.32953409318136373,0.0002827861552435398,0.0030565761144196076,0.00029635031749466816,0.0061037656595405165,0.000590889000385445
0.05,0.002581649014132159,0.0011478522588316176,,,0.0034993001399720057,0.003534826940544629,0.002355962615915263,0.0009303676727071529,0.0026959518050081455,0.000986203701757702,0.04859028194361128,0.0390244894236127,0.003230192412171737,0.0033160522120587025,0.006444452580187332,0.006610681450729999,0.22185562887422516,0.0219159270313767,0.007799397833449807,0.0012236500685377067,0.015537216400590026,0.0024282126696885294,0.8051389722055589,0.0561330518158487,0.004039882699126864,0.004367137365218202,0.008053908801647691,0.008698989285063428
0.1,0.01012117290958181,2.6416694251638477e-05,,,0.043491301739652065,0.040862599432695906,0.009301555740102328,0.0059927110186791714,0.01849863624834175,0.011873938966209334,0.7056588682263547,0.04637692945994555,0.0063120972099709,0.001738426819583118,0.012582840784850113,0.003454907401010956,0.585382923415317,0.2981980007043449,0.06754792886845636,0.03738344532721562,0.12983437405022819,0.06971654204279008,0.8480303939212157,0.11820461289181247,0.12318504074593445,0.1499929509446354,0.21994658456175148,0.26303212634183515
0.15000000000000002,0.07167454148113517,0.07424826254801474,0.06414530584078153,,0.08428314337132572,0.07423136575143721,0.045295270963488184,0.026657974974674103,0.08818355654044535,0.05090098954971662,0.9492101579684064,0.030540904766305596,0.08081160704431607,0.03215423809899408,0.15457575074168384,0.05911160488985757,0.6789642071585683,0.14803855227000903,0.10551276140701893,0.12527556669534276,0.19204559618888367,0.224114791432976,0.8268346330733853,0.06617196032699542,0.18146693976895517,0.24300996932648694,0.30047670671277066,0.3978233877189235
0.2,0.07207002116449213,0.03941902616226294,0.051286914747982505,,0.3017396520695861,0.03732777249215126,0.041349702537058095,0.026872470092945782,0.08062854234976474,0.05152260289633293,0.7003599280143971,0.06857564264656582,0.0855090423229961,0.06652166027753334,0.1614937226839564,0.1216669136269316,0.887622475504899,0.1060448082163389,0.06322853613013615,0.009739440697033459,0.12241179612656694,0.018247260238067525,0.6732653469306138,0.13488899605118299,0.04890444366814028,0.0033693229130745505,0.09541156655734395,0.006409096100944661
0.25,0.5845658572655029,0.09438186019078189,0.3575544273104404,0.07345514095120774,0.6265746850629874,0.09855097510238423,0.5351960620171843,0.3246783499956119,0.6607400554173679,0.2021084443200448,0.6311737652469506,0.1695303000685204,0.48256186217256514,0.15026385784762517,0.720968160034051,0.155504501574883,0.5504899020195961,0.18946672401319212,0.648572852373738,0.3381070626737659,0.6554255726758133,0.005828910368376788,0.6324735052989402,0.2030404594648835,0.6994341274985711,0.3256269895605281,0.8340376666439692,0.163774978288554
0.30000000000000004,0.3558412892506482,0.2741161952277983,0.20675864827034593,0.17278234085382146,0.617376524695061,0.5224474218124961,0.7354159160177471,0.27594242937685004,0.6115464338457287,0.250492605220087,0.5030993801239753,0.08596699119404538,0.598214427563907,0.29291401595316685,0.6591078859980635,0.042250610241436865,0.20675864827034593,0.17278234085382146,0.7227482453264362,0.2121828044543441,0.3558412892506482,0.2741161952277983,0.5682863427314537,0.14195864993227228,0.6193910075411929,0.4224328897876769,0.6277043508573033,0.1261083506365243
