CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std,smallest_overall_p_mean,smallest_overall_p_std,left_hbo_p_phase_mean,left_hbo_p_phase_std,left_hbo_p_power_mean,left_hbo_p_power_std,left_hbo_p_combined_mean,left_hbo_p_combined_std,left_hbr_p_phase_mean,left_hbr_p_phase_std,left_hbr_p_power_mean,left_hbr_p_power_std,left_hbr_p_combined_mean,left_hbr_p_combined_std,right_hbo_p_phase_mean,right_hbo_p_phase_std,right_hbo_p_power_mean,right_hbo_p_power_std,right_hbo_p_combined_mean,right_hbo_p_combined_std,right_hbr_p_phase_mean,right_hbr_p_phase_std,right_hbr_p_power_mean,right_hbr_p_power_std,right_hbr_p_combined_mean,right_hbr_p_combined_std
0.0,0.00039988003199198374,0.0,,,0.001999600079984003,0.00028278615524357037,0.6167407664056564,0.06671085822550574,0.003995161775483369,0.0005644413920497916,0.0003999200159968006,0.00028278615524357026,0.5021692358308172,0.6427874070241926,0.0007996401119696461,0.0005653461267997633,0.0026994601079784043,0.0004241792328653557,0.4549807280695931,0.02315201740837993,0.005391543167071411,0.0008460683558952071,0.0003999200159968006,0.00028278615524357026,0.8190123065797312,0.12428168251760571,0.0007996401119696461,0.0005653461267997633
0.05,0.0005997800639831463,0.0002827013363607177,,,0.008198360327934414,0.003110647707679272,0.6033246611403904,0.13230881699648706,0.016324669479221565,0.006170290993836881,0.0020995800839832034,0.00014139307762178524,0.5472800601666401,0.2998392285061721,0.004194741935436175,0.00028219242306394196,0.0027994401119776045,0.0014139307762178512,0.4526732184152161,0.04890603484712497,0.005590043758894769,0.0028199451233746954,0.00029994001199760045,0.00014139307762178513,0.8147365132286182,0.055424180899355836,0.0005997800639831463,0.0002827013363607177
0.1,0.0015986804638671859,0.0016953598293366345,,,0.0028994201159768043,0.00042417923286535526,0.7300457564111338,0.21123161454774003,0.005790343630933947,0.000845898718129563,0.002599480103979204,0.0005655723104871407,0.5003039687368835,0.201338232883648,0.005192042975128208,0.00112820423303732,0.002599480103979204,0.0014139307762178516,0.40776099655612885,0.08286986560065357,0.005191203311027459,0.002820510582593143,0.0007998400319936012,0.0008483584657307108,0.7851093832210394,0.06834153196293069,0.0015986804638671859,0.0016953598293366345
0.15000000000000002,0.007184965726310832,0.0022541466291999854,,,0.005498900219956009,0.0004241792328653554,0.7537246255579297,0.21723488215383774,0.010967472572272208,0.0008436934271769729,0.0068986202759448115,0.004100399251031769,0.7961511960022225,0.1701030465986968,0.013741242953169086,0.008144224307238357,0.011597680463907219,0.0033934338629228434,0.6162451677360175,0.054575728419183026,0.023055097038980565,0.00670815580261052,0.003599280143971206,0.0011311446209742813,0.7073002072180934,0.30867564051070595,0.007184965726310832,0.0022541466291999854
0.2,0.0564329645568587,0.03158725877744422,0.04019196160767846,,0.041591681663667265,0.03449991093971558,0.5340981984872692,0.10812778544146147,0.08085837341629859,0.06613000325297207,0.029894021195760845,0.014563486995043867,0.9189188223516676,0.05967468708902554,0.058788342311541675,0.02825625161225967,0.07188562287542491,0.06716171187034795,0.9114213478294095,0.024103758896086822,0.13634835520398425,0.12466750075833632,0.04519096180763847,0.019795030867049923,0.9435555406976726,0.0346271297817178,0.08814377896266379,0.03780094876631224
0.25,0.015724849431233645,0.008697130331227793,,,0.04469106178764247,0.020219210099915275,0.7680827469112306,0.009924159532075177,0.08718042434304585,0.038631184264085176,0.11117776444711058,0.002262289241948559,0.6206625729701427,0.29951448792504975,0.20999247461045684,0.004021545962992005,0.012897420515896822,0.0026864684748139195,0.3064192915457693,0.26090518630888754,0.02562488901939669,0.005303639922382936,0.009498100379924015,0.006645474648223902,0.3758041304005059,0.47524210750696944,0.018883905682370916,0.013164710525885628
0.30000000000000004,0.015724849431233645,0.008697130331227793,,,0.04469106178764247,0.020219210099915275,0.7680827469112306,0.009924159532075177,0.08718042434304585,0.038631184264085176,0.11117776444711058,0.002262289241948559,0.6206625729701427,0.29951448792504975,0.20999247461045684,0.004021545962992005,0.012897420515896822,0.0026864684748139195,0.3064192915457693,0.26090518630888754,0.02562488901939669,0.005303639922382936,0.009498100379924015,0.006645474648223902,0.3758041304005059,0.47524210750696944,0.018883905682370916,0.013164710525885628
