subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
2,0.0,0.00039857980266021497,4.111686168948027e-06
2,0.05,0.00036056535910834465,8.624731622270942e-05
2,0.1,0.0009021237860330044,0.0003406017975012732
2,0.15000000000000002,0.004997927763601961,0.0033906456921130434
2,0.2,0.04089953931209237,0.026868078839348337
2,0.25,0.1699163571057587,0.17376154129283694
2,0.30000000000000004,0.14820958705425213,0.1504217932238157
2,0.35000000000000003,0.20557796030428452,0.13693119487511257
2,0.4,0.25408034917772493,0.20328989886900786
2,0.45,0.2728432305816025,0.24365247921978256
