subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
4,0.0,1.845293404745263e-08,2.0387520106959072e-08
4,0.05,5.97016556935781e-07,7.817202653661685e-07
4,0.1,8.980286932390724e-05,0.00013677724492070956
4,0.15000000000000002,0.00018570656191481129,0.00018770316587754586
4,0.2,0.0007366042385089089,0.0007047119176664248
4,0.25,0.002250311425902407,0.002905240375836521
4,0.30000000000000004,0.017132987719522708,0.026162320023707143
4,0.35000000000000003,0.05239137089014108,0.09326442000232228
4,0.4,0.1643858898555273,0.10266830274216673
4,0.45,0.2553982661645537,0.1911212813242988
