subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
3,0.0,0.0002862367048665715,0.00014711835580668764
3,0.05,0.0002939897771060629,0.00014926227606670405
3,0.1,0.00039988003199198374,0.0
3,0.15000000000000002,0.0004090608607572599,0.00016794713099290703
3,0.2,0.0008562051339403686,0.0007452873056865503
3,0.25,0.003982767845968749,0.003403683077294058
3,0.30000000000000004,0.01549084531742827,0.013282951144186645
3,0.35000000000000003,0.043638802965854664,0.03865444656395611
3,0.4,0.1544720790256482,0.10116019818898886
3,0.45,0.24826264386543945,0.17561749751103062
