subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
1,0.0,0.0005198200511866812,0.00019312177834395055
1,0.05,0.0011593002335345548,0.0007641493979741234
1,0.1,0.0010392482591264351,0.0011013102587978804
1,0.15000000000000002,0.0022368011900519404,0.002574434091300708
1,0.2,0.013911930671254258,0.012570759754131175
1,0.25,0.026286800228436602,0.0391756667504743
1,0.30000000000000004,0.026286800228436602,0.0391756667504743
1,0.35000000000000003,0.04178759271274217,0.06458701988537799
1,0.4,0.06649784620160552,0.08024068089625276
1,0.45,0.06177010534932799,0.06017108774833641
