subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
3,0.0,0.00039988003199198374,0.0
3,0.05,0.00039988003199198374,0.0
3,0.1,0.0006397360799785257,0.0003861773386590725
3,0.15000000000000002,0.0024774969021392978,0.0014437103982113421
3,0.2,0.015620167308270016,0.017965919622522707
3,0.25,0.068699683397067,0.0294171188778238
3,0.30000000000000004,0.18287142427437758,0.09039449050948214
3,0.35000000000000003,0.18955596144062176,0.1380406410872639
3,0.4,0.2299752631400894,0.15228637179871904
3,0.45,0.3762479824849449,0.1348977316335374
