subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
2,0.0,0.0002817983898709242,0.0001567190596479841
2,0.05,0.000691150668485363,0.0005708411213572248
2,0.1,0.002352296962687095,0.0026210520164865374
2,0.15000000000000002,0.017487451424553647,0.019450884438857837
2,0.2,0.025589635248185826,0.017881184862114236
2,0.25,0.15298280261560662,0.1628758526077403
2,0.30000000000000004,0.19564089171190013,0.20333409064308194
2,0.35000000000000003,0.23335253444889942,0.162687142244037
2,0.4,0.2477022138752099,0.20494573744771538
2,0.45,0.20890055896510748,0.18428020660784591
