subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
4,0.0,5.312062382244465e-05,7.16984641691793e-05
4,0.05,0.0002757110776775096,0.00016636061851201035
4,0.1,0.0002981726752340874,0.00016491393835872447
4,0.15000000000000002,0.0011648916479341076,0.0012915001679962008
4,0.2,0.005568813379863724,0.006021613728032564
4,0.25,0.019996235034382682,0.0326505678617906
4,0.30000000000000004,0.0896447865594476,0.1566616788352667
4,0.35000000000000003,0.12685235654052285,0.1438196322046791
4,0.4,0.19570268494364357,0.11910810072183528
4,0.45,0.18016161676804,0.2212944362149286
