subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
0,0.0,0.00039988003199198374,0.0
0,0.05,0.00039988003199198374,0.0
0,0.1,0.0012792082655254445,0.0007488867207421372
0,0.15000000000000002,0.004510911454981581,0.0036853658777488245
0,0.2,0.027699658322004005,0.016556585497737506
0,0.25,0.08080102942479257,0.052013712279483225
0,0.30000000000000004,0.1215307471520809,0.06987539543030656
0,0.35000000000000003,0.17379676147278303,0.13282247669339825
0,0.4,0.2751712108597956,0.22989034217266233
0,0.45,0.3330811065949276,0.228542421286546
