iter,target,param_beta,param_latent_dim,param_logvar,param_means,param_window_buffer,param_window_length
0,0.04835530736617344,0.8741722139252526,19.11285751537849,-0.07202423275437964,3.1939631788866647,1.312037280884873,28.479561626896214
1,0.0,0.30455050190275906,17.591170623948834,-0.5955399530271648,3.6863266000822046,1.041168988591605,93.59278817295954
2,0.0,1.6983967534407591,5.822103992208971,-2.2727001311715975,1.325320294340452,1.6084844859190754,57.98051453057903
3,0.10529288039176621,0.9775010335558083,7.242124523564755,-0.5525884211104821,1.1277223729341883,1.5842892970704363,45.308947463495336
4,0.03744649742703643,1.0209259715906647,16.133167305074245,-2.201304871366561,2.814054972861252,2.184829137724085,19.71603301759982
5,0.09666675626317023,1.475657176520733,7.482015485230768,-1.0694177103280724,1.3670373568551897,1.858297041742504,44.715378514010474
6,0.052400621166089234,0.2,2.6486558202721087,1.0,0.5,1.0,44.301883866253114
7,0.06026165659215171,0.2,10.511029743974849,1.0,0.5,1.0,46.36019444431349
8,0.06439199561833919,0.2,6.446456899532181,-2.6908064417295074,1.7314243959942928,1.0,47.307029214023274
9,0.0,2.0,6.670163009940487,1.0,2.191421056446303,3.0,46.35011013623051
10,0.07592012214222732,0.4262543185474097,7.754179366482541,-1.499460198696545,0.7281283094213763,1.0,45.131115756931216
11,0.09977026055719296,0.43074074523287226,6.705735599159655,-0.239450046213884,1.6713592669919672,1.7175984783737037,44.64654940720562
12,0.0,1.3477979690090576,6.905760053672442,0.08081968644807697,0.5,1.0,44.02495202221545
13,0.09731421012278535,0.5124212359352286,7.163677972296856,-1.1017065031557947,1.8161218484742647,1.910748282269097,45.220715264847165
14,0.11603290989714987,0.43118874298765775,7.99394372718294,-0.3117356846657866,1.4977876856751684,2.1154311252827553,44.92609836005811
15,0.06219839439699165,0.5428241493985317,8.75559433493528,-0.3180111451023242,2.3241703556821434,1.1281142141343732,45.52484459311154
16,0.11412810640437593,0.3146758871510919,7.361657533248371,-0.6633967338676422,0.809996915653977,2.7626508714257425,45.02305658925372
17,0.10640427049347767,1.226118842134104,8.796187034937843,0.02052734789288868,1.4070992794169053,2.6771500594186555,44.1119422685163
18,0.0,0.6982385360009246,8.344677550987065,-1.3722516042723325,0.501667350912013,2.598966056340763,45.276216082678516
19,0.09966215658547933,0.7363508419625606,7.606808834331002,-1.084227667038479,1.782004942524969,2.663308674922479,44.78649320091497
20,0.09508710547294108,0.6665468152292684,8.005938615311658,-0.0654389866036853,1.2839336281214015,2.664004100596156,43.59125072849061
21,0.0,1.767019361207937,7.645657552566588,0.31770605050787637,2.328677713496085,2.4076885857722226,43.97454830850346
22,0.0,0.2,7.2381968252298305,-0.045476230220833615,1.4365795988705696,2.7252532909007545,44.82023926042759
23,0.0,1.8459415601520963,4.389449665082631,-1.0025937794236581,3.9875913117962694,2.006958853371115,22.571685524944087
24,0.04901047442135659,1.334765454717737,5.6663408191902,-1.749468829235561,1.3927723092037727,1.3191180802012226,93.75675167997002
25,0.0,1.691317476259394,14.64317879459869,-2.533021427749245,2.390584995251187,1.1367583639541936,18.990730909859025
26,0.0,0.7136626307860015,12.267225606548681,-0.03237788313258738,4.609348173536677,1.1586340518906393,72.5557245919424
27,0.0,1.1652020132853809,19.81229486261178,-0.345665442224973,0.5162444820574672,2.0002156775553046,39.61012996550941
28,0.0,0.3178958866833999,7.726569849113543,-1.267935139940049,4.993941868331107,1.1286150274319109,71.69559925996938
29,0.0,1.1612570315114914,10.512349698573669,-2.9158525159200677,3.103342315578946,2.2591937557615362,66.56098510432409
30,0.08919062061612071,1.1079388883288346,7.868609292654397,-0.8638217702703015,1.4749343318963932,1.6885944062741598,45.96128029245975
31,0.0,1.6848237142568772,3.219151366746801,0.8289282175629542,2.029135042335368,1.0959601352523187,71.12466232745118
32,0.0,1.2715232133733452,2.356288923764675,-2.8663320758246607,1.461062341255143,1.5177715416443682,30.672831907567
33,0.0,1.255841771087405,8.144758406418902,-0.42531297316827565,1.0365337820385552,1.961162183869997,44.26022733628152
34,0.0,0.21458882375689456,7.927998483623644,-1.377893427986038,2.098907611576132,2.4092082273370323,45.293590934625335
35,0.0,0.7675152579427087,7.705968200325378,-1.335757869494108,3.3988200741274213,1.3797901673357182,80.18695037608784
36,0.0,0.2343208620958631,17.06330580199291,0.8812945564076746,3.621036802659989,2.8479183118803135,93.22907645808276
37,0.0,0.7087091083647007,7.473761071986155,-0.7593597927681383,1.3376292128202054,2.096779959671695,45.01975471064453
38,0.09965173696713414,1.6935529349871015,3.1538427922917567,-0.5507063720508203,1.7156132336019891,2.12119918169042,47.1239628527824
39,0.0,0.5271887679159684,2.638800074104411,-0.5698684378347738,2.4618249566736417,1.0113827448367059,38.067235510253624
40,0.03261231749990556,0.8615667364805846,10.35633590120804,0.15907819837289106,3.022342946241327,1.2951445517030111,23.348740317441973
41,0.05513953235667235,0.5113326463957532,16.296909759611175,-0.8193899918186696,2.363126051855322,1.4653011910734777,58.77839312544606
42,0.0,1.7517677250621089,15.683690099957296,-2.000964134055155,2.382266638381128,2.371744021067391,21.532661190088604
43,0.08946046837257265,1.0469754982760022,13.667063008898127,-1.7337453806667646,1.0943188650207916,2.274827392491516,39.825540104893726
44,0.0,1.6889810103809157,6.004403199259418,0.35887577064397735,2.235349001034022,1.097214965284651,93.71367078496787
45,0.0,0.4273891559955594,6.187978943727215,-1.1235576802889158,2.8868069028065566,1.664382945147069,75.37282527518684
