subject,CONTROL_REPLACEMENT_FRAC,seed,smallest_combined_p,smallest_overall_p,left_hbo_p_phase,left_hbo_p_power,left_hbo_p_combined,left_hbr_p_phase,left_hbr_p_power,left_hbr_p_combined,right_hbo_p_phase,right_hbo_p_power,right_hbo_p_combined,right_hbr_p_phase,right_hbr_p_power,right_hbr_p_combined
2,0.0,0,0.0006033033151953138,,0.0003999200159968006,0.0007405255745571488,0.0007996800959743089,0.003599280143971206,0.0003016971681882697,0.0006033033151953138,0.09978004399120176,0.0011395895903508798,0.0022778805162673166,0.14937012597480503,0.00757103892374803,0.015084757217111111
2,0.0,1,0.0006033033151953138,,0.0011997600479904018,0.0007405255745571488,0.0014805027709877683,0.004399120175964807,0.0003016971681882697,0.0006033033151953138,0.10017996400719856,0.0011395895903508798,0.0022778805162673166,0.14517096580683864,0.00757103892374803,0.015084757217111111
2,0.0,2,0.0006033033151953138,,0.0005998800239952009,0.0007405255745571488,0.0011994001919473085,0.003999200159968006,0.0003016971681882697,0.0006033033151953138,0.09958008398320337,0.0011395895903508798,0.0022778805162673166,0.14197160567886422,0.00757103892374803,0.015084757217111111
2,0.0,3,0.0006033033151953138,,0.0007998400319936012,0.0007405255745571488,0.0014805027709877683,0.003799240151969606,0.0003016971681882697,0.0006033033151953138,0.08778244351129774,0.0011395895903508798,0.0022778805162673166,0.15476904619076184,0.00757103892374803,0.015084757217111111
2,0.0,4,0.0006033033151953138,,0.0007998400319936012,0.0007405255745571488,0.0014805027709877683,0.0061987602479504095,0.0003016971681882697,0.0006033033151953138,0.10057988402319536,0.0011395895903508798,0.0022778805162673166,0.13857228554289142,0.00757103892374803,0.015084757217111111
2,0.0,5,0.0006033033151953138,,0.0007998400319936012,0.0007405255745571488,0.0014805027709877683,0.003799240151969606,0.0003016971681882697,0.0006033033151953138,0.10197960407918416,0.0011395895903508798,0.0022778805162673166,0.15096980603879223,0.00757103892374803,0.015084757217111111
2,0.0,6,0.0006033033151953138,,0.0003999200159968006,0.0007405255745571488,0.0007996800959743089,0.004399120175964807,0.0003016971681882697,0.0006033033151953138,0.09318136372725455,0.0011395895903508798,0.0022778805162673166,0.14997000599880023,0.00757103892374803,0.015084757217111111
2,0.05,0,0.0015990403199104275,,0.0007998400319936012,0.0014922331637847676,0.0015990403199104275,0.007598480303939212,0.013920695374779166,0.015139223704949023,0.09018196360727855,0.0017499279357135937,0.0034967936236469654,0.1855628874225155,0.00294878057928253,0.005888865851660263
2,0.05,1,0.004240117687355105,,0.0021995600879824036,0.002122310945552322,0.004240117687355105,0.013397320535892822,0.015121420494492992,0.026615152874244208,0.14957008598280344,0.003030929093182493,0.006052671655197073,0.21255748850229955,0.011742197472591436,0.023346515743697505
2,0.05,2,0.004394282111384151,,0.0021995600879824036,0.005651243245463281,0.004394282111384151,0.008398320335932814,0.013711001361410383,0.01672610888740067,0.10597880423915217,0.005737201084120371,0.0114414866919611,0.18136372725454908,0.02905019350512952,0.05725647326757355
2,0.05,3,0.003921820533715925,,0.003799240151969606,0.0060610028777330445,0.007584046078206952,0.012997400519896021,0.0019628366306772864,0.003921820533715925,0.09518096380723855,0.012951886301016607,0.025736021243278784,0.13597280543891221,0.08494556522178442,0.16267538139272042
