subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p,smallest_overall_p,left_hbo_p_phase,left_hbo_p_power,left_hbo_p_combined,left_hbr_p_phase,left_hbr_p_power,left_hbr_p_combined,right_hbo_p_phase,right_hbo_p_power,right_hbo_p_combined,right_hbr_p_phase,right_hbr_p_power,right_hbr_p_combined
4,0.0,0.0001034953940841632,,0.0001999600079984003,0.013855135943037564,0.00039988003199198374,0.0001999600079984003,5.17490360234552e-05,0.0001034953940841632,0.0001999600079984003,0.4051831071807652,0.00039988003199198374,0.0001999600079984003,0.0005871368272613938,0.00039988003199198374
4,0.05,0.00039988003199198374,,0.0003999200159968006,0.02129895968664776,0.0007996800959743089,0.0001999600079984003,0.0006288786299621693,0.00039988003199198374,0.0003999200159968006,0.31866897669875266,0.0007996800959743089,0.0001999600079984003,0.0013410784606956436,0.00039988003199198374
4,0.1,0.00039988003199198374,,0.0001999600079984003,0.02184732024094468,0.00039988003199198374,0.0001999600079984003,0.001664279196024736,0.00039988003199198374,0.0009998000399920016,0.7306919381156325,0.001998600479863999,0.0001999600079984003,0.004175294381153065,0.00039988003199198374
4,0.15000000000000002,0.00039988003199198374,,0.0003999200159968006,0.028176706600946105,0.0007996800959743089,0.0001999600079984003,0.00027577808323540535,0.00039988003199198374,0.004199160167966407,0.6637164849470264,0.008380687389816566,0.0001999600079984003,0.012187219290614455,0.00039988003199198374
4,0.2,0.00039988003199198374,,0.002599480103979204,0.05215434048097811,0.005192202911147525,0.0001999600079984003,0.004919811796727814,0.00039988003199198374,0.0061987602479504095,0.8582930738154272,0.012359095867289227,0.0001999600079984003,0.01647139981095982,0.00039988003199198374
4,0.25,0.00039988003199198374,,0.002599480103979204,0.07335616840393608,0.005192202911147525,0.0001999600079984003,0.001835298450995992,0.00039988003199198374,0.027794441111777646,0.672638164057268,0.05481635126683926,0.0001999600079984003,0.002525723611837117,0.00039988003199198374
4,0.30000000000000004,0.00039988003199198374,,0.003199360127974405,0.16995986172242905,0.006388484350720369,0.0001999600079984003,0.0264493383667333,0.00039988003199198374,0.016796640671865627,0.5807842105097518,0.033311154205871385,0.0001999600079984003,0.0025136387545904573,0.00039988003199198374
4,0.35000000000000003,0.00039988003199198374,,0.017996400719856028,0.12597465298983584,0.03566893100084234,0.0001999600079984003,0.011234805502280737,0.00039988003199198374,0.03839232153569286,0.4557640006610756,0.07531067271848568,0.0001999600079984003,0.0379217186683959,0.00039988003199198374
4,0.4,0.0007996800959743089,,0.18496300739852028,0.10717243514145401,0.20285893942875888,0.0007998400319936012,0.024464169156095554,0.0015990403199104275,0.01899620075984803,0.3825092673544127,0.03763154587638751,0.0003999200159968006,0.00822705085338536,0.0007996800959743089
4,0.45,0.001998600479863999,,0.20395920815836832,0.21318120799863957,0.3663190577241481,0.0009998000399920016,0.031779630255455216,0.001998600479863999,0.23475304939012198,0.8720669298703119,0.41439710458228296,0.0013997200559888023,0.1298289725656378,0.002797480895742388
4,0.5,0.007982406718016533,,0.2439512097580484,0.06681056136744958,0.1291574716246654,0.00599880023995201,0.012130375899573434,0.011961614875585225,0.4385122975404919,0.66755215745429,0.684731559986743,0.003999200159968006,0.031074789834136415,0.007982406718016533
4,0.55,0.012756496890983682,,0.3167366526694661,0.6205815380252038,0.5331511981946743,0.0065986802639472104,0.2049658288128196,0.013153817946668478,0.5956808638272345,0.4385572167107844,0.6847820010924589,0.00639872025594881,0.027365683353255062,0.012756496890983682
4,0.6000000000000001,0.01950007918832164,,0.5816836632673466,0.6440135049954578,0.8250114424225733,0.009798040391921616,0.1481930182545181,0.01950007918832164,0.9878024395120976,0.7147289474982537,0.9186204266045459,0.026994601079784044,0.06570506443961714,0.053260493672111386
4,0.65,0.12177802675945015,0.0628650186656407,0.40851829634073183,0.15370510625864905,0.28378495282731553,0.1841631673665267,0.11701733140119311,0.22034160695412952,0.8920215956808638,0.9715129751036529,0.9883406642006931,0.21715656868626274,0.0628650186656407,0.12177802675945015
4,0.7000000000000001,0.15246640733840833,0.07938412317536493,0.24755048990201958,0.4137324963783756,0.43381973475330926,0.07938412317536493,0.10126593828694481,0.15246640733840833,0.3857228554289142,0.5964460946539298,0.6226635896575934,0.38752249550089984,0.13695516606174807,0.2551536146124952
4,0.75,0.315645892221881,0.17274302192237811,0.9442111577684463,0.5444840316373056,0.7925052025665968,0.9558088382323535,0.17274302192237811,0.315645892221881,0.7782443511297741,0.8859234546889171,0.950824432194145,0.3463307338532294,0.20355190694344777,0.3656704350665815
