subject,control_frac,tapping_condition,pick,phase_method,mean_p_combined,std_p_combined,mean_p_phase,std_p_phase,mean_p_power,std_p_power
0,0.0,Tapping_Left,hbo,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0011951892747349556,0.0
0,0.0,Tapping_Left,hbo,plv,0.0009328668159589067,0.0004985314271707472,0.00046657335199626744,0.0002493939469955303,0.0011951892747349556,0.0
0,0.0,Tapping_Left,hbr,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.012813565335625233,0.0
0,0.0,Tapping_Left,hbr,plv,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.012813565335625233,0.0
0,0.0,Tapping_Right,hbo,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.0012865926025702112,0.0
0,0.0,Tapping_Right,hbo,plv,0.0020563902281299784,0.0003991146281613455,0.0011997600479904018,0.0004319629872963981,0.0012865926025702112,0.0
0,0.0,Tapping_Right,hbr,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.002076677850155675,0.0
0,0.0,Tapping_Right,hbr,plv,0.0007996800959743089,0.0,0.0003999200159968006,0.0,0.002076677850155675,0.0
0,0.15,Tapping_Left,hbo,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.01840048630217624,0.003056699727057369
0,0.15,Tapping_Left,hbo,plv,0.0058530452144591,0.003911037424033222,0.002932746783976538,0.0019614662360277492,0.01840048630217624,0.003056699727057369
0,0.15,Tapping_Left,hbr,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.029789448906620237,0.003069226336739127
0,0.15,Tapping_Left,hbr,plv,0.002397840767779306,0.0009784247069080491,0.001199760047990402,0.0004897999885589239,0.029789448906620237,0.003069226336739127
0,0.15,Tapping_Right,hbo,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.038929089027847495,0.02524852986088568
0,0.15,Tapping_Right,hbo,plv,0.01314963295416638,0.004065063386142436,0.0065986802639472104,0.0020457254220119718,0.038929089027847495,0.02524852986088568
0,0.15,Tapping_Right,hbr,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.005640669341840679,0.0018776461863352495
0,0.15,Tapping_Right,hbr,plv,0.007577674666262986,0.0036505745668188034,0.00886489368792908,0.00756038069103472,0.005640669341840679,0.0018776461863352495
0,0.3,Tapping_Left,hbo,rms,0.0005331467199860921,0.0001884675575738118,0.0002666133439978671,9.426205174785676e-05,0.08030702981568424,0.053089622315078557
0,0.3,Tapping_Left,hbo,plv,0.02746336938156524,0.027992111897942002,0.016863294007865095,0.01340908747501654,0.08030702981568424,0.053089622315078557
0,0.3,Tapping_Left,hbr,rms,0.0003346652026778492,9.22276960838955e-05,0.0001999600079984003,0.0,0.01929485363703754,0.02610349805950213
0,0.3,Tapping_Left,hbr,plv,0.028528245041040606,0.037984918698858505,0.016330067319869357,0.0181544404730262,0.01929485363703754,0.02610349805950213
0,0.3,Tapping_Right,hbo,rms,0.009671211128700063,0.011998940180279983,0.004865693527961074,0.006041601916216576,0.06080277225149568,0.014032319240552782
0,0.3,Tapping_Right,hbo,plv,0.04616095980050875,0.0266251587919524,0.03459308138372326,0.029274855402815766,0.06080277225149568,0.014032319240552782
0,0.3,Tapping_Right,hbr,rms,0.00039988003199198374,0.0,0.0001999600079984003,0.0,0.018274072654871954,0.010637935278285077
0,0.3,Tapping_Right,hbr,plv,0.02202784985168793,0.01609055463015239,0.013330667199893355,0.009533058283693196,0.018274072654871954,0.010637935278285077
0,0.5,Tapping_Left,hbo,rms,0.0908310027296757,0.10933389261506156,0.06498700259948009,0.08230388907566884,0.09825233466188893,0.02565553154507358
0,0.5,Tapping_Left,hbo,plv,0.1861929417584058,0.04613482493952181,0.2960074651736319,0.24765617228396353,0.09825233466188893,0.02565553154507358
0,0.5,Tapping_Left,hbr,rms,0.0006664134079802005,0.0001884675575738118,0.00033326667999733386,9.426205174785677e-05,0.0836324863646113,0.010925104593100707
0,0.5,Tapping_Left,hbr,plv,0.16015122204332558,0.019939417325682884,0.38045724188495633,0.09548759799903328,0.0836324863646113,0.010925104593100707
0,0.5,Tapping_Right,hbo,rms,0.1448908112774985,0.06495460274793242,0.08318336332733453,0.03939398241167212,0.1886598335197336,0.14143098567070228
0,0.5,Tapping_Right,hbo,plv,0.2014841951303191,0.04560952192680566,0.3987869092848097,0.22769286886384463,0.1886598335197336,0.14143098567070228
0,0.5,Tapping_Right,hbr,rms,0.019481846482133247,0.008444147617140664,0.009798040391921616,0.0042699773053514545,0.04819424536056866,0.02831231940496951
0,0.5,Tapping_Right,hbr,plv,0.09326421800517355,0.05346189785908115,0.525628207691795,0.057191902625243304,0.04819424536056866,0.02831231940496951
1,0.0,Tapping_Left,hbo,rms,0.00186536044787311,0.0004983462001416806,0.0009331467039925347,0.0002493939469955303,0.9401672343456933,0.0
1,0.0,Tapping_Left,hbo,plv,0.0037290682235479413,0.00037636965592901877,0.0018662934079850698,0.00018852410349571355,0.9401672343456933,0.0
1,0.0,Tapping_Left,hbr,rms,0.0009328668159589067,0.0004985314271707472,0.00046657335199626744,0.0002493939469955303,0.8887833710880146,0.0
1,0.0,Tapping_Left,hbr,plv,0.001599013663907245,0.00032627215182465605,0.0007998400319936012,0.00016326666285297462,0.8887833710880146,0.0
1,0.0,Tapping_Right,hbo,rms,0.0025312140797861447,0.00018827907116761018,0.0012664133839898686,9.426205174785683e-05,0.4637953919828674,5.551115123125783e-17
